rank,method,h,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,Recovery@200(MAE)_mean,Recovery@200(MAE)_std
1,SlidingWindowSGD,1,0.5373265686639443,0.011798951053161304,0.7064963299363353,0.02176011597249041,0.7995257062898423,0.07941042746862628,0.7347478646032629,0.08604535056863155
2,UniformReplay,1,0.5384346299384717,0.011053156113623414,0.708008184958276,0.016359011911022226,0.8054090847783906,0.0796198802961294,0.7146038074026932,0.06108961861736845
3,OnlineSGD,1,0.5734673648260944,0.020165157319810265,0.7405467832072148,0.025801488946549277,0.8328340036513848,0.07762494460731892,0.6740006275658612,0.06924966463141152
4,PHResetSGD,1,0.577792226321393,0.02373003100722436,0.7484108757365949,0.0333880653404477,0.8369016764980362,0.07780265043555507,0.7056229909456452,0.0782073229828446
5,ReservoirReplay,1,0.7133977762754536,0.04925963630742628,0.9311654762263218,0.060146235595744106,0.9312872804957475,0.08067541275829188,0.8864776654838469,0.10540721149282636
6,DriftRPL,1,0.7514789615957732,0.13716177785378755,0.9628313316234447,0.17872424279851926,1.2223329759199169,0.3737200015591025,0.8545182969412417,0.2168250351884825
7,Static,1,1.192988142944742,0.2857257534290488,1.5837796073353474,0.4343783255878373,1.8241933283781986,0.09202870987121312,1.1832133697404408,0.33162036565893077
1,SlidingWindowSGD,5,0.5479161213999074,0.02554197770687442,0.7264800219219165,0.036268355795290905,0.8082059686704891,0.07751083232349687,0.8398280930522015,0.1537722063390557
2,UniformReplay,5,0.5542324266737724,0.02515540040773176,0.731189199885814,0.03519777510654673,0.8145987860298172,0.07786661923704723,0.8075157335488242,0.14876366934926671
3,PHResetSGD,5,0.6086238006920177,0.04935135584040334,0.7939826404207502,0.06331644605931845,0.8566679271014014,0.06833030647982276,0.7968215004974162,0.14791965478705
4,OnlineSGD,5,0.6202498189136891,0.05916655371967888,0.8048650118067997,0.0735799146678901,0.8602997705522822,0.06457975276910724,0.7652570669784793,0.15378949781516035
5,ReservoirReplay,5,0.74447118110578,0.08319198913882377,0.9874293687305447,0.12859615410559133,0.9494287455785365,0.08525989759134145,1.1153650662520085,0.3265942063482824
6,DriftRPL,5,0.8702633089915792,0.13826213588900102,1.110007223237361,0.17947368135774686,1.3093446014104697,0.3261810047280809,0.9877375791800092,0.17855551063032812
7,Static,5,1.19173286386126,0.2848519525999634,1.582627893438734,0.4336956245677203,1.8219847117600279,0.09147569152191079,1.1821955047494614,0.3309618220496394
1,SlidingWindowSGD,10,0.5746587568870141,0.01792435260044918,0.7684834860487475,0.03530272684120022,0.8297182554333509,0.07758345280205052,0.9572595301355353,0.15294403634205633
2,UniformReplay,10,0.5776038573299193,0.01701236653388362,0.7684079540001114,0.03565188294045769,0.8323807445461947,0.07806481793060957,0.9074472740056109,0.1750494602861123
3,OnlineSGD,10,0.6563805019735601,0.05625706115034548,0.862538057422325,0.08411794472645578,0.9070188378556321,0.09335016173574591,0.8970455890215817,0.17897925795334912
4,PHResetSGD,10,0.6766307213920677,0.0884168744804691,0.9016308349406905,0.1441659507234432,0.8889600227553967,0.06455027639904162,0.919971247047733,0.18554555964898445
5,ReservoirReplay,10,0.8149786853228791,0.07501444598178816,1.104990943352559,0.12314101143402845,1.0158603359977745,0.09668731060592597,1.3129339658667682,0.27293301383695967
6,DriftRPL,10,1.082792010171295,0.32591169185158253,1.3939971591751052,0.45411988431036854,1.4001933006241845,0.2502513240873462,1.2029439796845314,0.3296331129050178
7,Static,10,1.1908160788172,0.2829308635497919,1.5819786118721593,0.43169140082319774,1.8203062140989068,0.08945122022953259,1.1813483928899164,0.32840521485670093
